                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.22511,                0.19609,                0.36543,                0.88181,                0.94938,                 0.9301,                  0.995,                  0.995,                0.94938,                 0.9301,                  0.995,                  0.995,                0.21056,                0.27429,                0.29233,                0.84425,              0.0006179,              0.0006179,              0.0006179
                     89,                0.23121,                0.20001,                 0.3625,                0.88142,                0.81885,                0.99015,                  0.995,                 0.9838,                0.81885,                0.99015,                  0.995,                  0.995,                0.21261,                0.27326,                0.35062,                0.84753,             0.00060847,             0.00060847,             0.00060847
                     90,                0.23607,                0.25534,                0.40289,                0.90455,                0.89576,                0.99282,                  0.995,                0.97221,                0.89576,                0.99282,                  0.995,                0.98154,                0.21332,                0.24299,                0.30015,                0.85233,             0.00059904,             0.00059904,             0.00059904
                     91,                0.23526,                0.22842,                0.35834,                0.87734,                 0.9528,                 0.9885,                  0.995,                0.97098,                 0.9528,                 0.9885,                  0.995,                0.98732,                0.22008,                0.21135,                0.26425,                0.85019,             0.00058961,             0.00058961,             0.00058961
                     92,                0.24972,                0.24193,                0.38474,                0.89765,                0.87111,                0.95035,                  0.995,                0.98118,                0.87111,                0.95035,                  0.995,                  0.995,                0.21482,                 0.2232,                0.42882,                0.85545,             0.00058017,             0.00058017,             0.00058017
                     93,                0.22486,                  0.236,                0.35851,                0.89062,                0.88797,                0.93321,                  0.995,                  0.995,                0.88797,                0.93321,                  0.995,                  0.995,                0.20513,                0.25241,                0.35384,                0.85454,             0.00057074,             0.00057074,             0.00057074
                     94,                0.22043,                 0.2132,                 0.3176,                0.88525,                0.86909,                0.98811,                  0.995,                  0.995,                0.86909,                0.98811,                  0.995,                0.98739,                0.21625,                0.24469,                0.30248,                0.86124,             0.00056131,             0.00056131,             0.00056131
                     95,                0.22125,                0.18476,                0.31998,                0.90438,                0.94341,                0.99259,                  0.995,                  0.995,                0.94341,                0.99259,                  0.995,                0.98785,                0.20898,                0.23666,                0.24616,                0.85998,             0.00055188,             0.00055188,             0.00055188
                     96,                0.22787,                0.21799,                 0.3488,                0.87382,                0.96919,                      1,                  0.995,                  0.995,                0.96919,                      1,                  0.995,                  0.995,                0.21652,                0.26095,                0.22616,                0.85812,             0.00054245,             0.00054245,             0.00054245
                     97,                0.22129,                0.20956,                0.36413,                0.89362,                0.94426,                0.99446,                  0.995,                0.98767,                0.94426,                0.99446,                  0.995,                  0.995,                0.21901,                 0.2853,                0.24789,                 0.8458,             0.00053302,             0.00053302,             0.00053302
                     98,                0.21179,                0.22728,                0.33687,                0.88076,                 0.9264,                0.91941,                  0.995,                  0.995,                 0.9264,                0.91941,                  0.995,                  0.995,                0.19951,                0.31112,                0.28179,                0.84285,             0.00052359,             0.00052359,             0.00052359
                     99,                0.21096,                0.20112,                0.31083,                0.89579,                0.88417,                0.91929,                  0.995,                  0.995,                0.88417,                0.91929,                  0.995,                0.98785,                0.20761,                0.37293,                0.32754,                0.85794,             0.00051415,             0.00051415,             0.00051415
                    100,                0.22313,                0.23281,                0.33693,                0.88334,                0.89932,                      1,                  0.995,                0.97635,                0.89932,                      1,                  0.995,                0.98767,                0.22286,                0.36034,                0.25872,                0.87719,             0.00050472,             0.00050472,             0.00050472
                    101,                0.22265,                 0.2022,                0.32334,                0.89234,                0.95587,                      1,                  0.995,                0.98322,                0.95587,                      1,                  0.995,                0.98739,                0.19686,                0.35421,                 0.2461,                 0.8622,             0.00049529,             0.00049529,             0.00049529
                    102,                0.21576,                0.18869,                0.30882,                0.87391,                0.97698,                      1,                  0.995,                  0.995,                0.97698,                      1,                  0.995,                  0.995,                0.21131,                0.34295,                0.22548,                0.85725,             0.00048586,             0.00048586,             0.00048586
                    103,                0.23621,                0.23093,                0.33229,                0.90949,                0.97763,                      1,                  0.995,                  0.995,                0.97763,                      1,                  0.995,                  0.995,                0.24991,                0.34901,                0.26135,                0.86949,             0.00047643,             0.00047643,             0.00047643
                    104,                0.20713,                0.19526,                0.32027,                0.87636,                0.98751,                      1,                  0.995,                0.96668,                0.98751,                      1,                  0.995,                0.97058,                0.27947,                0.35189,                0.22167,                 0.8852,               0.000467,               0.000467,               0.000467
                    105,                0.20768,                 0.1824,                0.30477,                0.87369,                 0.9857,                      1,                  0.995,                0.98091,                 0.9857,                      1,                  0.995,                0.98503,                0.24105,                0.33769,                0.22368,                0.88822,             0.00045757,             0.00045757,             0.00045757
                    106,                0.21882,                0.20932,                0.30028,                0.88709,                0.95498,                0.99348,                  0.995,                0.95269,                0.95498,                0.99348,                  0.995,                0.98302,                0.29505,                0.31808,                0.26112,                0.89832,             0.00044813,             0.00044813,             0.00044813
                    107,                0.20628,                0.20437,                0.28034,                0.88145,                0.93088,                0.99015,                  0.995,                0.97097,                0.93088,                0.99015,                  0.995,                0.98302,                0.26657,                0.29685,                0.28745,                0.88022,              0.0004387,              0.0004387,              0.0004387
                    108,                0.20674,                0.19332,                0.30208,                0.87669,                0.93746,                0.99069,                  0.995,                0.96135,                0.93746,                0.99069,                  0.995,                0.97063,                0.26596,                0.32142,                0.29408,                 0.8843,             0.00042927,             0.00042927,             0.00042927
                    109,                0.22419,                0.21388,                0.31485,                0.89113,                0.97893,                      1,                  0.995,                0.97194,                0.97893,                      1,                  0.995,                  0.995,                0.21678,                0.29337,                0.23625,                0.85413,             0.00041984,             0.00041984,             0.00041984
